TEAM_ID,TEAM_ABBREVIATION,SEASON,SEASON_TYPE,GAMES_PLAYED,WINS,LOSSES,POINTS_SCORED,POINTS_CONCEDED
1610612765,DET,2017-18,Regular Season,82,39,43,8509,8521
1610612765,DET,2018-19,Playoffs,4,0,4,392,487
1610612765,DET,2018-19,Regular Season,82,41,41,8778,8798
1610612765,DET,2019-20,Regular Season,66,20,46,7078,7313
1610612765,DET,2020-21,Regular Season,72,20,52,7676,7998
1610612765,DET,2021-22,Regular Season,82,23,59,8596,9229
1610612766,CHA,2015-16,Playoffs,7,3,4,632,694
1610612766,CHA,2015-16,Regular Season,82,48,34,8479,8256
1610612766,CHA,2016-17,Regular Season,82,36,46,8601,8585
1610612766,CHA,2017-18,Regular Season,82,36,46,8874,8853
1610612766,CHA,2018-19,Regular Season,82,39,43,9081,9171
1610612766,CHA,2019-20,Regular Season,65,23,42,6687,7126
1610612766,CHA,2020-21,Regular Season,72,33,39,7881,8020
1610612766,CHA,2021-22,Regular Season,82,43,39,9457,9421
