Player ID,Full Name,Status,Image URL
1628962,Udoka Azubuike,Activo,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/20160330_MCDAAG_Udoka_Azubike_rebound.jpg/500px-20160330_MCDAAG_Udoka_Azubike_rebound.jpg
203569,Chris Babb,Inactivo,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Chris_Babb.jpg/500px-Chris_Babb.jpg
202337,Luke Babbitt,Inactivo,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Luke_Babbitt_%2830303258314%29.jpg/500px-Luke_Babbitt_%2830303258314%29.jpg
76079,Milos Babic,Inactivo,
76080,Johnny Bach,Inactivo,
1628407,Dwayne Bacon,Inactivo,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Dwayne_Bacon_2019.jpg/500px-Dwayne_Bacon_2019.jpg
1630641,Ibou Badji,Activo,
76081,Jim Baechtold,Inactivo,
2053,Dalibor Bagaric,Inactivo,
76082,John Bagley,Inactivo,
1628963,Marvin Bagley III,Activo,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Marvin_Bagley_III_%28cropped%29.jpg/500px-Marvin_Bagley_III_%28cropped%29.jpg
1641735,Amari Bailey,Activo,
76084,Carl Bailey,Inactivo,
76083,Gus Bailey,Inactivo,
76085,James Bailey,Inactivo,
1847,Thurl Bailey,Inactivo,https://upload.wikimedia.org/wikipedia/commons/3/3d/Thurl_Bailey.jpg
1753,Toby Bailey,Inactivo,
203946,Cameron Bairstow,Inactivo,https://upload.wikimedia.org/wikipedia/commons/c/c2/Cameron_Bairstow.JPG
1858,Mark Baker,Inactivo,
2486,Maurice Baker,Inactivo,https://upload.wikimedia.org/wikipedia/en/d/dd/MauriceBaker.jpg
76089,Norm Baker,Inactivo,
1627758,Ron Baker,Inactivo,
452,Vin Baker,Inactivo,https://upload.wikimedia.org/wikipedia/commons/5/51/Lipofsky-Vin_Baker.jpg
1627735,Wade Baldwin IV,Inactivo,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/2022-12-22_ALBA_Berlin_gegen_Maccabi_Tel_Aviv_B.C._%28EuroLeague_2022-23%29_by_Sandro_Halank%E2%80%93101.jpg/500px-2022-12-22_ALBA_Berlin_gegen_Maccabi_Tel_Aviv_B.C._%28EuroLeague_2022-23%29_by_Sandro_Halank%E2%80%93101.jpg
1631116,Patrick Baldwin Jr.,Activo,
200764,Renaldo Balkman,Inactivo,https://upload.wikimedia.org/wikipedia/commons/b/bc/Renaldo_Balkman%2C_2016.jpg
76090,Cedric Ball,Inactivo,
1630163,LaMelo Ball,Activo,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/LaMelo_Ball_%28cropped%29.jpg/500px-LaMelo_Ball_%28cropped%29.jpg
1628366,Lonzo Ball,Activo,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Lonzo_Ball_%2849487881388%29_%28cropped%29.jpg/500px-Lonzo_Ball_%2849487881388%29_%28cropped%29.jpg
76091,Greg Ballard,Inactivo,https://upload.wikimedia.org/wikipedia/commons/d/df/GregBallard.jpg
76092,Herschel Baltimore,Inactivo,
1628964,Mo Bamba,Activo,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Mo_Bamba_rebound_%28cropped%29.jpg/500px-Mo_Bamba_rebound_%28cropped%29.jpg
1631094,Paolo Banchero,Activo,https://upload.wikimedia.org/wikipedia/commons/5/54/Paolo_Banchero.png
1630217,Desmond Bane,Activo,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Desmond_Bane_2022_%28cropped%29.jpg/500px-Desmond_Bane_2022_%28cropped%29.jpg
76093,Gene Banks,Inactivo,https://upload.wikimedia.org/wikipedia/commons/2/2e/Gene_Banks_Hawks_vs_Wizards_%28cropped%29.jpg
2556,Marcus Banks,Inactivo,https://upload.wikimedia.org/wikipedia/commons/3/3e/Marcus_banks.jpg
76094,Ken Bannister,Inactivo,
76095,Mike Bantom,Inactivo,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Mike_Bantom.jpg/500px-Mike_Bantom.jpg
1630625,Dalano Banton,Activo,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Dalano_Banton_%2851654614711%29_%28cropped%29.jpg/500px-Dalano_Banton_%2851654614711%29_%28cropped%29.jpg
1627760,Cat Barber,Inactivo,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Anthony_Barber.jpg/500px-Anthony_Barber.jpg
76096,John Barber,Inactivo,
2571,Leandro Barbosa,Inactivo,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Leandro_Barbosa_Rio_2016cr.jpg/500px-Leandro_Barbosa_Rio_2016cr.jpg
76097,Stephen Bardo,Inactivo,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/20140814_World_Basketball_Festival_Steve_Bardo.JPG/500px-20140814_World_Basketball_Festival_Steve_Bardo.JPG
200826,J.J. Barea,Inactivo,
200745,Andrea Bargnani,Inactivo,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Andrea_Bargnani_Knicks.jpg/500px-Andrea_Bargnani_Knicks.jpg
76098,Cliff Barker,Inactivo,https://upload.wikimedia.org/wikipedia/commons/2/21/Cliff-Barker-jersey.jpg
76099,Tom Barker,Inactivo,
787,Charles Barkley,Inactivo,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/1_charles_barkley_2019_%28cropped%29.jpg/500px-1_charles_barkley_2019_%28cropped%29.jpg
2057,Erick Barkley,Inactivo,
76102,Don Barksdale,Inactivo,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Don_Barksdale_1948.jpg/500px-Don_Barksdale_1948.jpg
1631230,Dominick Barlow,Activo,
203084,Harrison Barnes,Activo,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Harrison_Barnes_in_2019_%28cropped%29.jpg/500px-Harrison_Barnes_in_2019_%28cropped%29.jpg
76103,Harry Barnes,Inactivo,
76105,Jim Barnes,Inactivo,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Jim_Barnes_golf.jpg/500px-Jim_Barnes_golf.jpg
76104,Marvin Barnes,Inactivo,
2440,Matt Barnes,Inactivo,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Matt_Barnes_Mar-2012.jpg/500px-Matt_Barnes_Mar-2012.jpg
1630567,Scottie Barnes,Activo,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Scottie_Barnes%2C_Wizards_vs_Raptors_on_October_12%2C_2021.jpg/500px-Scottie_Barnes%2C_Wizards_vs_Raptors_on_October_12%2C_2021.jpg
76107,Dick Barnett,Inactivo,https://upload.wikimedia.org/wikipedia/commons/b/b4/Dick_Barnett.jpeg
76106,Jim Barnett,Inactivo,
76108,John Barnhill,Inactivo,
76109,Norton Barnhill,Inactivo,
76110,Leo Barnhorst,Inactivo,
76111,John Barr,Inactivo,
76112,Mike Barr,Inactivo,
76113,Thomas Barr,Inactivo,
2857,Andre Barrett,Inactivo,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/AndreBarret.JPG/500px-AndreBarret.JPG
76114,Ernie Barrett,Inactivo,
1629628,RJ Barrett,Activo,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/2023-08-09_Deutschland_gegen_Kanada_%28Basketball-L%C3%A4nderspiel%29_by_Sandro_Halank%E2%80%93063.jpg/500px-2023-08-09_Deutschland_gegen_Kanada_%28Basketball-L%C3%A4nderspiel%29_by_Sandro_Halank%E2%80%93063.jpg
2853,Earl Barron,Inactivo,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Earl_Barron_2012.jpg/500px-Earl_Barron_2012.jpg
344,Dana Barros,Inactivo,https://upload.wikimedia.org/wikipedia/commons/4/47/Dana_Barros_XBHS.jpg
699,Brent Barry,Inactivo,https://upload.wikimedia.org/wikipedia/commons/3/3c/Brent_Barry.jpg
1003,Drew Barry,Inactivo,
468,Jon Barry,Inactivo,https://upload.wikimedia.org/wikipedia/commons/3/3e/Jon_Barry_in_March_2010.jpg
600013,Rick Barry,Inactivo,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Rick_Barry.jpg/500px-Rick_Barry.jpg
76117,Ed Bartels,Inactivo,
76118,Vic Bartolome,Inactivo,
203115,Will Barton,Inactivo,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Washington_Wizards_Media_Day_2022_-_52380408562.jpg/500px-Washington_Wizards_Media_Day_2022_-_52380408562.jpg
101188,Eddie Basden,Inactivo,
76119,Jerry Baskerville,Inactivo,
